item,truth
1090,3
1091,3
1092,2
1093,1
1094,1
1095,0
1096,2
1097,1
1098,0
1099,2
1100,0
1101,0
1102,2
1103,1
1104,0
1105,3
1106,0
1107,1
1108,2
1109,3
1110,2
1111,1
1112,1
1113,2
1114,1
1115,0
1116,3
1117,3
1118,0
1119,1
1120,0
1121,2
1122,2
1123,2
1124,0
1125,2
1126,1
1127,3
1128,3
1129,0
1130,3
1131,0
1132,1
1133,0
1134,0
1135,1
1136,2
1137,0
1138,3
1139,2
1140,2
1141,1
1142,3
1143,1
1144,0
1145,1
1146,1
1147,1
1148,2
1149,0
1150,0
1151,2
1152,0
1153,0
1154,1
1155,0
1156,3
1157,3
1158,1
1159,2
1160,0
1161,3
1162,2
1163,0
1164,1
1165,3
1166,0
1167,1
1168,3
1169,0
1170,2
1171,3
1172,2
1173,3
1174,1
1175,3
1176,1
1177,0
1178,0
1179,2
1180,0
1181,3
1182,0
1183,0
1184,1
1185,3
1186,0
1187,1
1188,3
1189,0
1190,1
1191,2
1192,0
1193,2
1194,2
1195,3
1196,0
1197,2
1198,1
1199,2
1200,0
1201,0
1202,2
1203,1
1204,2
1205,3
1206,2
1207,0
1208,3
1209,0
1210,1
1211,2
1212,3
1213,3
1214,0
1215,2
1216,1
1217,0
1218,1
1219,2
1220,0
1221,0
1222,3
1223,1
1224,2
1225,1
1226,0
1227,1
1228,0
1229,2
1230,2
1231,0
1232,1
1233,2
1234,0
1235,0
1236,2
1237,1
1238,2
1239,0
1240,2
1241,2
1242,0
1243,1
1244,1
1245,2
1246,3
1247,1
1248,0
1249,1
1250,3
1251,1
1252,3
1253,0
1254,3
1255,1
1256,2
1257,0
1258,2
1259,1
1260,0
1261,0
1262,1
1263,3
1264,2
1265,1
1266,3
1267,2
1268,3
1269,3
1270,3
1271,3
1272,0
1273,1
1274,0
1275,0
1276,3
1277,1
1278,2
1279,0
1280,2
1281,1
1282,3
1283,0
1284,0
1285,2
1286,3
1287,2
1288,1
1289,3
1290,3
1291,1
1292,0
1293,3
1294,2
1295,2
1296,1
1297,3
1298,0
1299,2
1300,2
1301,1
1302,3
1303,3
1304,1
1305,2
1306,3
1307,0
1308,3
1309,1
1310,1
1311,0
1312,2
1313,1
1314,1
1315,3
1316,3
1317,1
1318,2
1319,2
1320,0
1321,2
1322,0
1323,1
1324,2
1325,2
1326,1
1327,0
1328,1
1329,0
1330,0
1331,0
1332,2
1333,3
1334,1
1335,3
1336,0
1337,0
1338,0
1339,3
1340,1
1341,2
1342,2
1343,1
1344,1
1345,2
1346,1
1347,2
1348,3
1349,1
1350,1
1351,0
1352,3
1353,1
1354,0
1355,2
1356,2
1357,3
1358,3
1359,0
1360,1
1361,2
1362,3
1363,0
1364,3
1365,0
1366,3
1367,1
1368,1
1369,2
1370,0
1371,1
1372,0
1373,3
1374,2
1375,0
1376,3
1377,3
1378,0
1379,3
1380,2
1381,1
1382,2
1383,1
1384,1
1385,2
1386,0
1387,3
1388,1
1389,2
1390,3
1391,0
1392,1
1393,0
1394,2
1395,2
1396,0
1397,1
1398,2
1399,3
1400,2
1401,1
1402,1
1403,3
1404,0
1405,1
1406,0
1407,3
1408,0
1409,2
1410,0
1411,1
1412,0
1413,2
1414,2
1415,2
1416,3
1417,1
1418,2
1419,3
1420,0
1421,3
1422,2
1423,1
1424,0
1425,0
1426,2
1427,3
1428,2
1429,2
1430,2
1431,1
1432,3
1433,0
1434,1
1435,3
1436,3
1437,0
1438,3
1439,2
1440,3
1441,2
1442,1
1443,3
1444,3
1445,0
1446,2
1447,0
1448,2
1449,2
1450,2
1451,3
1452,0
1453,1
1454,0
1455,0
1456,0
1457,1
1458,2
1459,3
1460,0
1461,0
1462,3
1463,1
1464,1
1465,0
1466,3
1467,1
1468,2
1469,3
1470,3
1471,2
1472,1
1473,3
1474,0
1475,2
1476,3
1477,0
1478,0
1479,1
1480,3
1481,0
1482,2
1483,2
1484,1
1485,2
1486,2
1487,2
1488,1
1489,1
1490,3
1491,0
1492,3
1493,1
1494,2
1495,0
1496,3
1497,0
1498,3
1499,3
1500,2
1501,0
1502,0
1503,0
1504,2
1505,3
1506,1
1507,0
1508,2
1509,2
1510,1
1511,1
1512,3
1513,2
1514,0
1515,0
1516,1
1517,0
1518,2
1519,2
1520,0
1521,1
1522,0
1523,3
1524,2
1525,3
1526,1
1527,0
1528,3
1529,2
1530,0
1531,3
1532,2
1533,2
1534,2
1535,0
1536,2
1537,2
1538,1
1539,0
1540,1
1541,0
1542,1
1543,3
1544,1
1545,2
1546,1
1547,0
1548,1
1549,2
1550,2
1551,1
1552,3
1553,0
1554,3
1555,1
1556,2
1557,0
1558,3
1559,1
1560,2
1561,0
1562,0
1563,2
1564,1
1565,0
1566,3
1567,1
1568,0
1569,3
1570,1
1571,0
1572,3
1573,1
1574,2
1575,1
1576,0
1577,3
1578,3
1579,0
1580,2
1581,3
1582,0
1583,2
1584,1
1585,0
1586,2
1587,1
1588,3
1589,0
1590,3
1591,2
1592,0
1593,2
1594,0
1595,1
1596,3
1597,0
1598,2
1599,3
1600,1
1601,3
1602,1
1603,2
1604,0
1605,2
1606,3
1607,0
1608,3
1609,3
1610,2
1611,3
1612,1
1613,0
1614,0
1615,0
1616,3
1617,0
1618,1
1619,3
1620,2
1621,0
1622,3
1623,2
1624,3
1625,2
1626,1
1627,0
1628,2
1629,0
1630,0
1631,2
1632,2
1633,1
1634,3
1635,0
1636,3
1637,0
1638,3
1639,3
1640,0
1641,0
1642,1
1643,1
1644,2
1645,2
1646,0
1647,1
1648,0
1649,3
1650,0
1651,0
1652,3
1653,2
1654,0
1655,2
1656,1
1657,1
1658,0
1659,0
1660,1
1661,0
1662,3
1663,2
1664,2
1665,1
1666,0
1667,1
1668,1
1669,1
1670,0
1671,3
1672,3
1673,2
1674,0
1675,1
1676,0
1677,2
1678,3
1679,1
1680,0
1681,0
1682,1
1683,3
1684,2
1685,1
1686,1
1687,2
1688,0
1689,2
1690,2
1691,0
1692,3
1693,2
1694,0
1695,2
1696,1
1697,1
1698,0
1699,1
1700,0
1701,2
1702,0
1703,0
1704,2
1705,0
1706,1
1707,2
1708,3
1709,0
1710,2
1711,1
1712,0
1713,3
1714,2
1715,1
1716,0
1717,2
1718,2
1719,3
1720,2
1721,1
1722,0
1723,2
1724,0
1725,3
1726,1
1727,1
1728,3
1729,0
1730,2
1731,0
1732,1
1733,2
1734,2
1735,0
1736,3
1737,0
1738,3
1739,2
1740,2
1741,1
1742,1
1743,3
1744,0
1745,2
1746,1
1747,2
1748,0
1749,1
1750,1
1751,2
1752,3
1753,2
1754,0
1755,0
1756,2
1757,0
1758,2
1759,1
1760,3
1761,2
1762,3
1763,1
1764,2
1765,0
1766,0
1767,1
1768,1
1769,2
1770,1
1771,2
1772,3
1773,1
1774,2
1775,1
1776,0
1777,2
1778,3
1779,0
1780,1
1781,3
1782,3
1783,1
1784,2
1785,0
1786,2
1787,2
1788,3
1789,1
1790,1
1791,0
1792,0
1793,1
1794,2
1795,0
1796,1
1797,1
1798,0
1799,0
1800,3
1801,2
1802,1
1803,1
1804,0
1805,2
1806,3
1807,0
1808,2
1809,1
1810,2
1811,3
1812,0
1813,2
1814,3
1815,1
1816,0
1817,3
1818,3
1819,2
1820,0
1821,2
1822,2
1823,3
1824,3
1825,1
1826,0
1827,0
1828,1
1829,3
1830,0
1831,1
1832,1
1833,2
1834,0
1835,1
1836,3
1837,1
1838,2
1839,2
1840,0
1841,3
1842,2
1843,1
1844,0
1845,1
1846,1
1847,0
1848,3
1849,0
1850,3
1851,0
1852,0
1853,1
1854,2
1855,2
1856,1
1857,0
1858,3
1859,1
1860,2
1861,1
1862,0
1863,1
1864,3
1865,1
1866,2
1867,0
1868,0
1869,0
1870,3
1871,2
1872,0
1873,1
1874,2
1875,0
1876,1
1877,3
1878,2
1879,1
1880,3
1881,0
1882,1
1883,0
1884,3
1885,0
1886,2
1887,1
1888,1
1889,3
1890,0
